method,video,videophy_sa,videophy_pc,videophy_avg,sa_binary_0p5,pc_binary_0p5,both_binary_0p5,videopath
baseline_gf5,0001_trimmed-ball-and-block-fall.mp4,0.62109375,0.06005859375,0.340576171875,1.0,0.0,0.0,/root/autodl-tmp/physics-consistency-eval/WMReward/generated_videos/physics_iq/MAGI-1-4.5B_base/guidance_v2cp2gf5base3_f49_s40_gs0.001_gf5_cfg6.0_seed42_tfps4_ctx1/0001_trimmed-ball-and-block-fall.mp4
baseline_gf5,0005_trimmed-ball-behind-rotating-paper.mp4,0.22265625,0.22265625,0.22265625,0.0,0.0,0.0,/root/autodl-tmp/physics-consistency-eval/WMReward/generated_videos/physics_iq/MAGI-1-4.5B_base/guidance_v2cp2gf5base3_f49_s40_gs0.001_gf5_cfg6.0_seed42_tfps4_ctx1/0005_trimmed-ball-behind-rotating-paper.mp4
baseline_gf5,0008_trimmed-ball-hits-duck.mp4,0.006683349609375,0.2021484375,0.1044158935546875,0.0,0.0,0.0,/root/autodl-tmp/physics-consistency-eval/WMReward/generated_videos/physics_iq/MAGI-1-4.5B_base/guidance_v2cp2gf5base3_f49_s40_gs0.001_gf5_cfg6.0_seed42_tfps4_ctx1/0008_trimmed-ball-hits-duck.mp4
promptx_gf5,0001_trimmed-ball-and-block-fall.mp4,0.5625,0.0260009765625,0.29425048828125,1.0,0.0,0.0,/root/autodl-tmp/physics-consistency-eval/WMReward/generated_videos/physics_iq/MAGI-1-4.5B_base/guidance_v2cp2gf5promptx3_f49_s40_gs0.001_gf5_cfg6.0_seed42_promptx_tfps4_ctx1/0001_trimmed-ball-and-block-fall.mp4
promptx_gf5,0005_trimmed-ball-behind-rotating-paper.mp4,0.1484375,0.2451171875,0.19677734375,0.0,0.0,0.0,/root/autodl-tmp/physics-consistency-eval/WMReward/generated_videos/physics_iq/MAGI-1-4.5B_base/guidance_v2cp2gf5promptx3_f49_s40_gs0.001_gf5_cfg6.0_seed42_promptx_tfps4_ctx1/0005_trimmed-ball-behind-rotating-paper.mp4
promptx_gf5,0008_trimmed-ball-hits-duck.mp4,0.002471923828125,0.037353515625,0.0199127197265625,0.0,0.0,0.0,/root/autodl-tmp/physics-consistency-eval/WMReward/generated_videos/physics_iq/MAGI-1-4.5B_base/guidance_v2cp2gf5promptx3_f49_s40_gs0.001_gf5_cfg6.0_seed42_promptx_tfps4_ctx1/0008_trimmed-ball-hits-duck.mp4
action_focus_gf5,0001_trimmed-ball-and-block-fall.mp4,0.3203125,0.09521484375,0.207763671875,0.0,0.0,0.0,/root/autodl-tmp/physics-consistency-eval/WMReward/generated_videos/physics_iq/MAGI-1-4.5B_base/guidance_v2cp2gf5action3_f49_s40_gs0.001_gf5_cfg6.0_seed42_promptx_action_focus_tfps4_ctx1/0001_trimmed-ball-and-block-fall.mp4
action_focus_gf5,0005_trimmed-ball-behind-rotating-paper.mp4,0.00102996826171875,0.376953125,0.18899154663085938,0.0,0.0,0.0,/root/autodl-tmp/physics-consistency-eval/WMReward/generated_videos/physics_iq/MAGI-1-4.5B_base/guidance_v2cp2gf5action3_f49_s40_gs0.001_gf5_cfg6.0_seed42_promptx_action_focus_tfps4_ctx1/0005_trimmed-ball-behind-rotating-paper.mp4
action_focus_gf5,0008_trimmed-ball-hits-duck.mp4,0.0019378662109375,0.0260009765625,0.01396942138671875,0.0,0.0,0.0,/root/autodl-tmp/physics-consistency-eval/WMReward/generated_videos/physics_iq/MAGI-1-4.5B_base/guidance_v2cp2gf5action3_f49_s40_gs0.001_gf5_cfg6.0_seed42_promptx_action_focus_tfps4_ctx1/0008_trimmed-ball-hits-duck.mp4
delta_action_focus_minus_baseline,0001_trimmed-ball-and-block-fall.mp4,-0.30078125,0.03515625,-0.1328125,-1.0,0.0,0.0,
delta_action_focus_minus_baseline,0005_trimmed-ball-behind-rotating-paper.mp4,-0.22162628173828125,0.154296875,-0.033664703369140625,0.0,0.0,0.0,
delta_action_focus_minus_baseline,0008_trimmed-ball-hits-duck.mp4,-0.0047454833984375,-0.1761474609375,-0.09044647216796875,0.0,0.0,0.0,
action_focus_gf5,MEAN_3VIDEOS,0.10776011149088542,0.16605631510416666,0.13690821329752603,0.0,0.0,0.0,
baseline_gf5,MEAN_3VIDEOS,0.283477783203125,0.16162109375,0.2225494384765625,0.3333333333333333,0.0,0.0,
delta_action_focus_minus_baseline,MEAN_3VIDEOS,-0.1757176717122396,0.004435221354166667,-0.08564122517903645,-0.3333333333333333,0.0,0.0,
promptx_gf5,MEAN_3VIDEOS,0.23780314127604166,0.10282389322916667,0.17031351725260416,0.3333333333333333,0.0,0.0,
